"Key","Issue Type","Parent","Summary","Status","Assignee","Sprint","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"PT-3","Epic","","User experience and profile security","Done","","PT Sprint 1","","2024/03/18","","2024/03/25","dark_yellow"
"PT-5","Story","PT-3","Preferences and Settings Customization","Done","","","","","","","purple"
"PT-4","Story","PT-3","Profile Management Improvements","Done","","","","","","","purple"
"PT-6","Story","PT-3","Social Features Expansion","Done","","","","","","","purple"
"PT-12","Task","PT-3","Implement Password Change Feature","Done","","","","","","","purple"
"PT-19","Task","PT-3","Implement Notification Preferences Feature","Done","","","","","","","purple"
"PT-23","Test","PT-3","Notification Preferences Customization","Done","","","","","","","purple"
"PT-24","Test","PT-3","Test if the user can change language from settings","Done","","","","","","","purple"
"PT-25","Test","PT-3","As a user I want to create a new playlist folder","Done","","","","","","","purple"
"PT-26","Test","PT-3","Test the profile editing functionality","Done","","","","","","","purple"
"PT-27","Bug","PT-3","Failure to change gender ","Done","","","","","","","purple"
"PT-29","Bug","PT-3","Login functionality rejects valid credentials","Done","","PT Sprint 1","","2024/03/18","","2024/03/25","purple"
"PT-30","Test","PT-3","Profile Information Update","Done","","PT Sprint 1","","2024/03/18","","2024/03/25","purple"
